split,condition,file,scenario_seed,U,K,C,Cclu,Dcol,sensing_radius_m,cluster_populations,initial_budgets,workload_multiplier,energy_multiplier,slot_duration_s
validation,nominal,data/scenarios/validation/scenario_000.npz,120000,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_001.npz,120001,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_002.npz,120002,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_003.npz,120003,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_004.npz,120004,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_005.npz,120005,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_006.npz,120006,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_007.npz,120007,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_008.npz,120008,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
validation,nominal,data/scenarios/validation/scenario_009.npz,120009,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_000.npz,121000,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_001.npz,121001,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_002.npz,121002,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_003.npz,121003,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_004.npz,121004,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_005.npz,121005,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_006.npz,121006,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_007.npz,121007,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_008.npz,121008,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_009.npz,121009,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_010.npz,121010,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_011.npz,121011,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_012.npz,121012,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_013.npz,121013,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_014.npz,121014,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_015.npz,121015,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_016.npz,121016,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_017.npz,121017,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_018.npz,121018,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
development,nominal,data/scenarios/development/scenario_019.npz,121019,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_000.npz,124000,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_001.npz,124001,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_002.npz,124002,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_003.npz,124003,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_004.npz,124004,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_005.npz,124005,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_006.npz,124006,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_007.npz,124007,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_008.npz,124008,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_009.npz,124009,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_010.npz,124010,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_011.npz,124011,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_012.npz,124012,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_013.npz,124013,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_014.npz,124014,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_015.npz,124015,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_016.npz,124016,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_017.npz,124017,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_018.npz,124018,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_019.npz,124019,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_020.npz,124020,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_021.npz,124021,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_022.npz,124022,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_023.npz,124023,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_024.npz,124024,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_025.npz,124025,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_026.npz,124026,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_027.npz,124027,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_028.npz,124028,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_029.npz,124029,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_030.npz,124030,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_031.npz,124031,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_032.npz,124032,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_033.npz,124033,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_034.npz,124034,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_035.npz,124035,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_036.npz,124036,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_037.npz,124037,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_038.npz,124038,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
test,nominal,data/scenarios/test/scenario_039.npz,124039,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_000.npz,124000,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_001.npz,124001,3,50,64,4,8,15.0,13;13;12;12,175.0;125.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_002.npz,124002,3,50,64,4,8,15.0,13;13;12;12,150.0;125.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_003.npz,124003,3,50,64,4,8,15.0,13;13;12;12,125.0;150.0;175.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_004.npz,124004,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_005.npz,124005,3,50,64,4,8,15.0,13;13;12;12,150.0;175.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_006.npz,124006,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_007.npz,124007,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_008.npz,124008,3,50,64,4,8,15.0,13;13;12;12,175.0;150.0;125.0,1.0,1.0,1.0
robustness,nominal,data/robustness/nominal/scenario_009.npz,124009,3,50,64,4,8,15.0,13;13;12;12,125.0;175.0;150.0,1.0,1.0,1.0
